record_id,month,origin,destination,od_distance_km,demand_segment,cabin,booking_class,fare_family,distribution_channel,agency_name,campaign_type,campaign_id,incentive_rate_pct,bookings,cancellations,pax_flown,avg_base_fare_usd,taxes_fees_usd,ancillary_rev_usd_per_pax,revenue_usd,competitor_airline,qr_market_share_pct,competitor_market_share_pct,share_gap_pct,load_factor_pct,on_time_performance_pct,cancellations_pct,cost_per_booking_usd,yield_usd_per_rpk,days_to_departure
6253,2024-07,RUH,DAC,4600,Business,Economy,Y,Classic,Direct,Qatar Airways Direct,None,,0,24,0,24,423.6,135.39,21.92,10692.47,FZ,33.53,30.86,-2.67,84.8,76.37,0,1.55,0.09685,9
4685,2025-06,JED,BOS,8538,VFR,Economy,Q,Elite,GDS_Agency,Seera (Al Tayyar),None,,2.94,31,1,30,797.06,212.86,27.22,24728.35,EK,24.33,39.84,15.51,72.67,86.5,3.23,13.01,0.09654,35
1732,2024-07,JED,DEL,2809,Business,Economy,T,Classic,OTA,Cleartrip,None,,1.38,17,0,17,310.34,99.7,29.68,5780.24,SV,42.65,46.08,3.43,82.2,85.79,0,12.3,0.12104,1
4743,2024-09,DMM,LHR,5591,Business,Business,D,Elite,OTA,MakeMyTrip,Tactical,TAC-2025-815,0.57,8,0,8,2100.44,171.65,39.36,17118.38,TK,44.22,13.51,-30.71,80.89,90.78,0,9.44,0.38272,24
4522,2024-07,MED,ORD,7439,VFR,Economy,Q,Comfort,GDS_Agency,Kanoo Travel,Tactical,TAC-2024-771,1.81,6,0,6,665.01,191.95,21.42,4118.6,SV,57.34,48.8,-8.54,89.75,85.21,0,14.53,0.09228,25
6341,2024-11,DMM,NRT,8538,Business,Economy,Q,Comfort,GDS_Agency,Kanoo Travel,None,,1.38,19,0,19,841.76,224.54,49.6,16935.74,SV,37.43,35.88,-1.55,80.82,84.72,0,12.49,0.1044,31
577,2024-11,DMM,LHR,5187,Leisure,Economy,T,Classic,Direct,Qatar Airways Direct,Structural,STR-2024-393,0,23,0,23,516.3,144.55,27.82,12514.58,TK,27.1,53.85,26.75,80.42,77.99,0,1.85,0.1049,24
5203,2025-05,RUH,IST,2600,Pilgrimage,Economy,N,Comfort,Direct,Qatar Airways Direct,None,,0,9,0,9,359.8,100.71,24.55,3459.12,EY,39,37.43,-1.57,84.12,82.05,0,3.03,0.14783,20
6364,2024-11,DMM,KWI,430,Business,Business,J,Comfort,Corporate_TMC,American Express GBT,Tactical,TAC-2025-849,1.65,5,0,5,1047.67,53.29,29.83,5387.47,EY,31.06,37.92,6.86,60.55,85.1,0,5.92,2.5058,11
440,2025-05,DMM,KWI,430,Student,Economy,M,Elite,GDS_Agency,Almosafer,None,,2.03,10,0,10,50,39.88,14.56,645.58,FZ,55.11,44.38,-10.73,84.13,74.98,0,18.42,0.15013,31
2751,2025-06,JED,LHR,4760,VFR,Economy,M,Elite,OTA,Cleartrip,Tactical,TAC-2025-689,0.63,22,0,22,462.45,129.73,34,10921.98,TK,44.49,50.26,5.77,77.75,80.68,0,10.64,0.1043,40
7488,2025-03,MED,CDG,5718,Leisure,Economy,T,Classic,Direct,Qatar Airways Direct,Structural,STR-2024-163,0,29,0,29,545.05,149.14,14.31,16221.39,EK,24.42,21.03,-3.39,78.73,77.32,0,2.93,0.09782,33
5273,2024-10,RUH,KHI,2600,Student,Economy,T,Classic,Direct,Qatar Airways Direct,Structural,STR-2025-379,0,39,0,39,365.8,86.69,26.45,15297.57,TK,41.79,36.71,-5.08,80.1,74.46,0,1.4,0.15086,35
5654,2025-03,JED,DFW,6597,VFR,Economy,Y,Comfort,Direct,Qatar Airways Direct,None,,0,45,0,45,623.71,159.47,26.35,29252.9,WY,28.71,30.28,1.58,89.11,85.46,0,4.45,0.09854,30
4000,2024-10,JED,ICN,5738,Business,Economy,M,Elite,Direct,Qatar Airways Direct,None,,0,20,0,20,601.91,154.86,22.92,12496.51,WY,60.62,24.23,-36.39,76.52,91.75,0,2.4,0.10889,1
6034,2025-05,JED,ICN,7279,VFR,Economy,Y,Comfort,Direct,Qatar Airways Direct,None,,0,21,0,21,752.65,189.3,27.81,16389.55,EK,31.34,34.76,3.42,89.92,75.94,0,4.09,0.10722,17
583,2024-11,JED,ISB,3294,VFR,Economy,N,Elite,GDS_Agency,Almosafer,Structural,STR-2024-199,1.49,13,0,13,328.89,88.17,12.7,4440.66,WY,16.24,20.09,3.84,74.37,79.18,0,14.55,0.1037,22
9931,2024-10,MED,MCT,1356,VFR,Economy,Y,Comfort,Direct,Qatar Airways Direct,None,,0,13,0,13,251.62,70.82,16.69,3488.06,SV,42.53,20.05,-22.48,84.32,84.06,0,4.32,0.19787,28
7052,2025-06,DMM,LHR,8398,Business,Economy,Y,Classic,GDS_Agency,Kanoo Travel,None,,1.8,42,1,41,913.69,211.92,30.09,38694.7,EY,47.28,32.21,-15.07,91.56,78.8,2.38,8.88,0.11238,19
8159,2025-02,JED,ICN,6504,Leisure,Economy,Q,Elite,Direct,Qatar Airways Direct,None,,0,29,0,29,621.83,175,25.06,18759.79,TK,18.24,24.72,6.48,83.14,79.55,0,5.39,0.09946,28
9897,2025-03,JED,KHI,1638,Business,Economy,Q,Classic,Direct,Qatar Airways Direct,Tactical,TAC-2024-854,0,9,0,9,295.07,59.69,12.4,2767.27,EY,45.21,41.27,-3.95,79.12,82.71,0,4.85,0.18771,26
2250,2025-02,MED,KUL,5053,Leisure,Economy,T,Classic,Direct,Qatar Airways Direct,Tactical,TAC-2024-238,0,40,1,39,489,145.26,30.94,20278,FZ,46.21,5,-41.21,85.07,90.16,2.5,3.42,0.1029,30
4641,2024-09,RUH,BKK,5560,Leisure,Economy,M,Classic,Direct,Qatar Airways Direct,None,,0,102,1,101,555.53,139.58,20.63,58192.25,WY,37.59,15.9,-21.69,86.13,91.35,0.98,4.36,0.10363,29
9486,2024-10,DMM,DXB,550,VFR,Economy,M,Classic,GDS_Agency,Almosafer,None,,3.23,17,0,17,112.45,48.09,30.22,2425.42,EY,39.38,63.55,24.17,88.19,81.21,0,13.35,0.2594,30
4948,2025-04,RUH,KHI,2600,Pilgrimage,Economy,Q,Classic,Direct,Qatar Airways Direct,None,,0,12,0,12,364.03,83.51,36.73,4809.12,EY,50.83,45.22,-5.62,74.17,78.68,0,3.66,0.15414,39
9921,2025-04,DMM,DFW,9370,VFR,Economy,Q,Comfort,Direct,Qatar Airways Direct,Structural,STR-2024-582,0,74,0,74,886.3,226.58,46.51,69027.88,EY,32.88,30.27,-2.61,83.7,77.47,0,4.62,0.09955,56
1964,2024-09,RUH,NRT,9200,Business,Economy,T,Comfort,Direct,Qatar Airways Direct,Tactical,TAC-2024-128,0,32,0,32,846.65,207.95,31.83,28111.49,FZ,35.06,5,-30.06,95,92.74,0,4.49,0.09549,10
